,index,0,1,2
93,127,RT kimspendalot69 I would love to fly down under in my stripes for a pair of grey aussieBum briefs Blues JackAdamsUSA briefs 4 u Xx ht,😑,0.0
95,129,I love Ryon lmao httpstcoJkXImfcPtc,😑,0.0
96,130,oh my god I really love them all like right the fuck now ten minutes I love them all,😑,0.0
97,131,RT TheKnowledge True love httpstcoqDAcJylJ3T,😑,0.0
99,140,127107,😑,0.0
100,141,I love the beach,😑,0.0
101,142,RT animalvid Shes so sweet I love this lt3 httpstcomyxoepKziT,😑,0.0
102,143,RT Real_Liam_Payne Wow six years since my audition so much has changed in my life from amazing adventures to life love and happiness tha,😑,0.0
103,144,RT musicnetworkz Only miss the sun when it starts to snow only know you love her when you let her go  Passenger,😑,0.0
105,151, kinky af,😑,0.0
106,152,Love love love this team I feel they go and come as DexterFowler goes and comes No pressure Welcome back,😑,0.0
107,153,The heart wants what it wants Theres no logic to these things You meet someone and you fall in love and thats that  Woody Allen,😑,0.0
108,154,were not broken just bent and we can learn to love again,😑,0.0
109,155,utterjoe agaughan5 Must hope disappear Is defeat final No  Hessel I love this man Thank you Joe,😑,0.0
110,156,Nessa_Garcia11 i love you gurrrrl,😑,0.0
111,157,The best mother in law pattiemallette I love you,😑,0.0
112,158,I want somebody I can fall in love with,😑,0.0
113,159,mazzyhal ha ha love it xx,😑,0.0
114,160,If you love something for the sake of Allah it will be blessed If you love something for the sake of your Nafs it will never satisfy you,😑,0.0
115,163, watch here https,😑,0.0
116,165,Jealous gt Rocket Thats the truth,😑,0.0
117,166,sabar dong  i hate u i love u feat olivia obrien by gnash with aisyah  httpstcoBnjsltKcxJ,😑,0.0
118,169,OOC,😑,0.0
120,172,RT graffitibridges Baby Come Back to me In my heart I still believe we were meant to be love this bop from Vanessa Hudgens https,😑,0.0
121,173,My goal in life is to have a job I can say I love my job everyday,😑,0.0
122,174,RT blarkestan Bellarke No Ordinary Love bellarke The100 the100edit httpstcochLBmA7qBf,😑,0.0
123,175,6 years ago I fell in love with 5 boys and till this day Im still in love with them 6YearsOfOneDirection,😑,0.0
124,176,RT FallonTonight  pennjillette and MrTeller are finding love in Studio 6B  FallonTonight httpstcoDX4lUTGiuG,😑,0.0
125,177,RT 1DWWAlert I have watched this for 3 years now I still cry every time Thank you for all the memories Ill love them forever https,😑,0.0
126,178,RT evevefan Love spao httpstcolpAw3Jkary,😑,0.0
127,179,Dont lose yourself trying to love someone,😑,0.0
128,180,Love Love Love Lupines These Colors are my Fav httpstcoguekRfxJBr,😑,0.0
129,181,RT litshxwtie I always say  I hate you or youre annoying to the people I actually like you just gotta understand my love lmao,😑,0.0
130,182,JoeyGraceffa jj_crystals love it,😑,0.0
132,184,RT Ashton5SOS This is our new video for girls talk boys  hope you love it httpstcoRaLH2yemVL,😑,0.0
133,185,RT husnishamri_ Kenapa semua nak kesian kat adira She herself married someones husband before amp what goes around comes around en https,😑,0.0
134,189,RT DobsleyBrasil We love you That you have a AWESOME day as youre for us Today is YOUR DAY paulwesley Happy Birthday Paul Wesley htt,😑,0.0
135,193,6YearsOfOneDirection ht,😑,0.0
136,196,MTVHottest ZAYN httpstcoAcMcI5bJ0f,😑,0.0
138,198,Okay i love when guys are obsessed amp all about their girlfriends but sometimes i think its too much and there is a line to be crossed,😑,0.0
139,199,People love firsts They add first even if it shouldnt be there Saying its the first gets the attention of others,😑,0.0
140,200,RT likeablesivan so what are you waiting for cause someone could love you more troyesivan httpstcoBpZHDGmXbq,😑,0.0
141,202,Believe me they really love,😑,0.0
142,205,HappyBirthdaySuriya httpstcoCJEZ,😑,0.0
143,211,Khloe honestly ht,😑,0.0
145,213,No Love Allowed MTVHottest Rihanna Drake,😑,0.0
146,225,RT mariselagaarcia I love her httpstcohq2ifYRlsh,😑,0.0
148,244,I reallyreally need a friend who love shopping too,😑,0.0
149,253,RT mintcoups Love is blind  httpstcoLdUPaWxba3,😑,0.0
150,255,RT yourseIves Yes I overthink but I also overlove,😑,0.0
151,257,livelovelibra DID YOU GUYS KNOW THIS I was watching Doug last night and Pattys voice httpstcoPRDkDylokM,😑,0.0
152,265,6yearsof1D i love you httpstcoyuKVdXtrP1,😑,0.0
153,272,RT ialisyn Im crying Emily I love you  httpstcoOr6wskCcau,😑,0.0
154,279,6yearsof1D you boys have made the last 6 years the best 6 years of my life I cant thank you enough and I love you with all my heart,😑,0.0
156,285,I love seeing couples happy together amp it breaks my heart when I see the cuteststrongest relationships fall apart,😑,0.0
159,288,tanamongeau I fricken love you,😑,0.0
160,289,RT troyesivan  THE WILD VIDEO FT alessiacara IS OUT I HOPE YOU LOVE IT LIKE I LOVE YOU  httpstcomP9TODg1T9,😑,0.0
161,290,RT MakeupGuides love this look  httpstcoYU6KXmXmnt,😑,0.0
162,292,RT CraziestSex i hope my best friends meet guys who love them as much as i love them bc sometimes i think they forget how well they deser,😑,0.0
163,293,you say you love her but your actions show otherwise,😑,0.0
164,294,RT GrandesTimes I love help my babes gain new active followers everyday,😑,0.0
166,296,love and sex and magic songtext old man with teen official site httpstcosBCIa1xCX0,😑,0.0
167,297,Id love to see how youre doing these days but I got too much pride for that,😑,0.0
168,303,Khloe honestly https,😑,0.0
169,305,httpstcozFhjoHyObT httpstcoUYSrofaWPS,😑,0.0
170,306,RT Hashtag_DonJon Love u ate   httpstco4jO43xYs76,😑,0.0
171,307,RT StrangePintura When the love is real Shit made me smile inside lol  httpstcoCml0lSnzX8,😑,0.0
172,308,MannyMua733 OMG Im dying laughing at your snapchat tonight  You are totally my best friend and mine soul sister Burrito love is strong,😑,0.0
174,310,RT capitoIs You were the ocean and i was the one who was in love with the sea but was too scared to swim,😑,0.0
175,311,RT mradamscott Haha right But I think we can all agree that you should eat farts httpstcoK5UtBJqptz,😑,0.0
176,312,RT BOM_Qld Hey BOM_Tas hows the 27 C apparent temp 12 C going in Hobart Still 29C here Thinking of you Love from BOM_Qld,😑,0.0
177,313,DannyShahbaz I love horror movies Im looking up some really good foreign ones right now,😑,0.0
180,319,RT walker_lexie7  if ya love something let it go and if its comes back its meant to be,😑,0.0
181,320,cubewatermelon Im in love with that cape design The armor is badass too,😑,0.0
182,321,Samanthaprabhu2            i love u samantha15,😑,0.0
184,323,vlaslopp happy birthday love buggggg,😑,0.0
186,326,RT justin_hundley1 Im so low maintenance and I love it,😑,0.0
187,327,PRlSM0 i love you so much and more my dear,😑,0.0
189,329,RT genessedanielle LOVE LOVE LOVE httpstco8jbe9Igfiz,😑,0.0
191,331,troyesivan THIS VIDEO IS ONE OF THE MOST AMAZING I HAVE EVER SEEN I LOVE IT SO MUCH,😑,0.0
192,332,mark_tuaan I LOVE YOUJD,😑,0.0
193,333,RT SeanKershaw_ bitches can have a bf 3 side niggas a guy bestfriend a Fuckbuddy and still claim to love they nigga lol,😑,0.0
194,334,Its our old love I love,😑,0.0
195,338,So just love her,😑,0.0
196,340,Isolated Vocals httpstco5UhnwrqIPh,😑,0.0
198,342,RT arianaaa__xo people love to hit you with that  you know Ill never leave you but then THEY LEAVE,😑,0.0
199,343,nsfw My wife grew a little hitler mustache just above her clit Man I love fucking that little nazi  httpstco5UJDYJyXzi,😑,0.0
200,344,RT eshonburgundy Love is ministry toloveandobey,😑,0.0
201,345,Cassper tho in easy to love video,😑,0.0
202,346,im love music kpop jpop etc i love it lt3 bot,😑,0.0
203,347,RT blobyblo We love working with her Blessed to have good friends all over the world httpstcoVQV42GgbcQ,😑,0.0
204,348,I liked a YouTube video httpstcoAQxyDWE6xe 160722 THE EXOrDIUM Artificial Love XIUMIN 시우민,😑,0.0
205,349,RT curveable not sure if i need love or a bottle of alcohol,😑,0.0
206,350,arlenedabean I love u hunny,😑,0.0
207,351,got me up all night all Im singing is love songs,😑,0.0
208,352,will die httpstcoeIi8LsERrc,😑,0.0
209,353,RT _jayysterrr yall are so jealous hearted now a days  cant ever give props  stop hating  yall love to bring people down  sad,😑,0.0
211,355,Probablymellow wokedoggo wow I am learning so much about both of you two I love it,😑,0.0
212,356,Im always gonna love you,😑,0.0
213,358,Gurmeetramrahim,😑,0.0
215,360,Cartoons also make me happy I guess thats why i love watching cartoons so much They let me escape into other worlds,😑,0.0
216,361,three simple words  i love you  say it mean it and live by it tl,😑,0.0
217,362,abbytoir RattyBurvil He has good reason to be jealy And Im kidding I love him too,😑,0.0
218,363,RT bangtanboysft1D FROM THIER FIRST GROUP HUG TO THIER LAST BEFORE BREAK THE LOVE BETWEEN THEM HAS NEVER CHANGED 6YearsOfOneDirection ht,😑,0.0
219,368,never won an award in his high school career https,😑,0.0
220,369,RT LOVESlCKSIVAN I honestly cannot wait to fall in love with the person Im going to have a future with,😑,0.0
221,370,RT fififuentes866 We waste time looking for the perfect lover insted ob creating the perfect love,😑,0.0
222,371,To bury my love in the moondust,😑,0.0
223,372,I love to chat in Kusini Cousins Group p,😑,0.0
225,374,i love you more,😑,0.0
226,376,Damn I think Im in love,😑,0.0
227,379,TY RegalFilms LoveTOMIHOS,😑,0.0
228,382,Me i dont blame you,😑,0.0
